City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,-2.27,93,100,2.57,US,1674097955
1,pacific grove,36.6177,-121.9166,11.17,85,0,0.89,US,1674097956
2,hobart,-42.8794,147.3294,18.48,55,75,7.72,AU,1674097932
3,clyde river,70.4692,-68.5914,-31.69,97,100,0.82,CA,1674097958
4,yushu,44.8,126.5333,-12.47,76,93,3.38,CN,1674097958
5,mataura,-46.1927,168.8643,28.09,27,9,1.33,NZ,1674097959
6,mporokoso,-9.3727,30.125,15.85,96,100,1.78,ZM,1674097959
7,new norfolk,-42.7826,147.0587,18.29,35,18,3.25,AU,1674097960
8,paris,48.8534,2.3488,2.1,94,100,2.57,FR,1674097878
9,pala,9.3642,14.9046,20.07,27,53,2.4,TD,1674097960
10,imeni zhelyabova,58.9544,36.5956,1.34,98,100,7.56,RU,1674097961
11,mora,11.0461,14.1401,18.26,32,2,1.75,CM,1674097962
12,ushuaia,-54.8,-68.3,9.89,94,10,1.71,AR,1674097962
13,bontang,0.1333,117.5,28.61,69,44,2.04,ID,1674097963
14,nuuk,64.1835,-51.7216,-8.4,78,100,4.47,GL,1674097963
15,poltavka,54.3663,71.7632,-14.73,89,95,3.73,RU,1674097963
16,nikolskoye,59.7035,30.7861,1.0,98,100,5.12,RU,1674097964
17,verkhnyaya toyma,62.2349,44.9985,-2.19,87,100,4.76,RU,1674097964
18,albany,42.6001,-73.9662,4.65,82,100,1.34,US,1674097965
19,valparaiso,-33.0393,-71.6273,17.49,100,0,1.03,CL,1674097965
20,butaritari,3.0707,172.7902,26.84,80,79,6.96,KI,1674097966
21,coihaique,-45.5752,-72.0662,16.34,67,0,1.03,CL,1674097966
22,belmonte,-15.8631,-38.8828,23.95,86,29,1.01,BR,1674097967
23,bethel,41.3712,-73.414,7.05,72,75,3.6,US,1674097967
24,ballina,-28.8667,153.5667,30.56,59,0,6.43,AU,1674097968
25,eina,60.6295,10.5993,-1.94,97,99,1.01,NO,1674097968
26,mar del plata,-38.0023,-57.5575,22.19,90,100,8.05,AR,1674097969
27,salsk,46.4725,41.5428,0.34,92,85,5.52,RU,1674097969
28,mount isa,-20.7333,139.5,34.87,28,5,4.63,AU,1674097970
29,puerto ayora,-0.7393,-90.3518,24.19,94,53,2.25,EC,1674097970
30,villazon,-22.0866,-65.5942,11.13,60,98,2.99,BO,1674097971
31,armidale,-30.5167,151.65,21.49,56,88,3.46,AU,1674097971
32,port elizabeth,-33.918,25.5701,24.06,90,97,1.79,ZA,1674097972
33,umaria,23.5333,80.8333,13.32,32,0,1.67,IN,1674097972
34,sciacca,37.5082,13.0881,8.91,70,81,8.31,IT,1674097973
35,seymchan,62.8833,152.4333,-30.36,90,100,2.9,RU,1674097973
36,portland,45.5234,-122.6762,5.97,93,75,3.13,US,1674097429
37,victoria,22.2855,114.1577,19.41,68,0,1.79,HK,1674097803
38,avarua,-21.2078,-159.775,24.03,94,100,6.17,CK,1674097974
39,bredasdorp,-34.5322,20.0403,19.38,88,6,2.72,ZA,1674097975
40,ponta do sol,32.6667,-17.1,15.4,68,54,3.86,PT,1674097975
41,ustka,54.5805,16.8619,-1.31,68,100,4.6,PL,1674097976
42,cape town,-33.9258,18.4232,22.99,81,78,1.43,ZA,1674097976
43,arlit,18.7369,7.3853,15.84,12,62,2.79,NE,1674097977
44,mehamn,71.0357,27.8492,-0.05,80,100,5.66,NO,1674097977
45,krasnoselkup,65.7,82.4667,-25.84,96,86,4.63,RU,1674097978
46,moranbah,-22.0016,148.0466,29.04,48,3,6.92,AU,1674097868
47,ixtapa,20.7,-105.2,21.57,73,0,0.0,MX,1674097979
48,alofi,-19.0595,-169.9187,28.94,79,75,3.09,NU,1674097979
49,upernavik,72.7868,-56.1549,-27.87,72,100,2.19,GL,1674097979
50,neftcala,39.3742,49.2472,6.41,85,89,2.74,AZ,1674097980
51,aksay,47.26,39.87,2.36,69,94,4.02,RU,1674097980
52,los llanos de aridane,28.6585,-17.9182,15.86,82,75,7.72,ES,1674097981
53,ucluelet,48.9329,-125.5528,3.38,91,7,3.7,CA,1674097981
54,marienburg,54.0359,19.0266,2.8,85,100,2.03,PL,1674097982
55,cairns,-16.9167,145.7667,27.84,83,75,7.2,AU,1674097898
56,ilulissat,69.2167,-51.1,-35.16,65,0,2.27,GL,1674097983
57,khatanga,71.9667,102.5,-36.28,100,16,2.8,RU,1674097984
58,puerto escondido,15.85,-97.0667,28.46,69,40,2.57,MX,1674097750
59,busselton,-33.65,115.3333,27.26,37,0,2.87,AU,1674097985
60,sioux lookout,50.1001,-91.917,-12.86,96,98,2.84,CA,1674097986
61,port pirie,-33.1833,138.0167,24.85,20,0,4.87,AU,1674097986
62,rikitea,-23.1203,-134.9692,25.57,68,100,0.33,PF,1674097987
63,grand gaube,-20.0064,57.6608,26.32,82,97,3.58,MU,1674097988
64,fortuna,40.5982,-124.1573,5.55,96,100,2.57,US,1674097989
65,palmer,42.1584,-72.3287,6.4,77,75,4.12,US,1674097989
66,sokode,8.9833,1.1333,21.96,24,1,1.58,TG,1674097990
67,cabo san lucas,22.8909,-109.9124,20.28,74,40,2.84,MX,1674097991
68,vadso,70.0744,29.7487,1.09,80,100,10.8,NO,1674097991
69,qasigiannguit,68.8193,-51.1922,-35.24,65,0,1.71,GL,1674097992
70,ribeira grande,38.5167,-28.7,13.21,83,16,0.89,PT,1674097992
71,castro,-24.7911,-50.0119,16.54,92,100,1.21,BR,1674097984
72,baykit,61.67,96.37,-42.52,99,77,0.7,RU,1674097993
73,chokurdakh,70.6333,147.9167,-37.99,100,31,2.35,RU,1674097994
74,tasiilaq,65.6145,-37.6368,-12.91,82,100,1.7,GL,1674097994
75,hermanus,-34.4187,19.2345,19.89,93,11,3.82,ZA,1674097745
76,bluff,-46.6,168.3333,18.23,72,72,6.18,NZ,1674097995
77,akyab,20.15,92.9,20.7,46,2,3.52,MM,1674097996
78,lethem,3.3803,-59.7968,24.9,64,68,4.22,GY,1674097997
79,wajima,37.4,136.9,7.0,63,12,5.28,JP,1674097997
80,deputatskiy,69.3,139.9,-35.89,100,98,0.6,RU,1674097998
81,punta arenas,-53.15,-70.9167,13.06,76,0,7.2,CL,1674097990
82,igrim,63.1906,64.4162,-19.76,100,82,1.67,RU,1674097999
83,bambous virieux,-20.3428,57.7575,26.23,87,99,6.63,MU,1674097999
84,port macquarie,-31.4333,152.9167,26.61,77,99,4.51,AU,1674097990
85,yakeshi,49.2833,120.7333,-22.27,95,100,0.88,CN,1674098001
